25	6	1
6
	0	156	1	109	2	104	3	192	4	186	5	133
	0	119	1	117	2	127	3	179	4	200	5	155
	0	102	1	109	2	159	3	147	4	143	5	164
	0	189	1	200	2	184	3	170	4	115	5	112
	0	184	1	179	2	188	3	128	4	172	5	135
	0	176	1	108	2	117	3	165	4	114	5	137
	0	124	1	187	2	151	3	148	4	152	5	151
	0	137	1	172	2	161	3	109	4	130	5	116
	0	184	1	197	2	128	3	168	4	118	5	150
	0	127	1	117	2	149	3	145	4	107	5	111
	0	194	1	161	2	135	3	127	4	172	5	170
	0	200	1	179	2	100	3	152	4	171	5	140
	0	116	1	130	2	181	3	197	4	117	5	142
	0	130	1	123	2	136	3	118	4	126	5	184
	0	134	1	107	2	134	3	161	4	123	5	106
	0	166	1	104	2	107	3	131	4	181	5	110
	0	158	1	102	2	128	3	120	4	105	5	157
	0	195	1	148	2	161	3	195	4	195	5	135
	0	162	1	134	2	176	3	121	4	142	5	106
	0	150	1	150	2	125	3	169	4	153	5	196
	0	148	1	142	2	127	3	112	4	105	5	177
	0	129	1	111	2	117	3	140	4	164	5	163
	0	129	1	132	2	137	3	124	4	126	5	121
	0	146	1	188	2	186	3	114	4	182	5	163
	0	140	1	139	2	164	3	170	4	179	5	163
Resources
1
R0
30
	0	9	1	7	2	6	3	3	4	6	5	4
	0	7	1	3	2	9	3	8	4	9	5	6
	0	7	1	1	2	6	3	1	4	2	5	2
	0	5	1	9	2	9	3	6	4	8	5	2
	0	6	1	1	2	7	3	9	4	4	5	5
	0	8	1	2	2	8	3	5	4	2	5	5
	0	3	1	8	2	2	3	1	4	9	5	7
	0	2	1	5	2	2	3	7	4	9	5	9
	0	4	1	9	2	8	3	7	4	2	5	5
	0	3	1	5	2	4	3	9	4	8	5	5
	0	3	1	8	2	4	3	6	4	3	5	8
	0	3	1	7	2	9	3	5	4	1	5	4
	0	5	1	5	2	4	3	7	4	7	5	4
	0	2	1	5	2	4	3	9	4	5	5	6
	0	7	1	7	2	4	3	6	4	2	5	8
	0	1	1	8	2	1	3	8	4	3	5	3
	0	5	1	2	2	6	3	8	4	3	5	4
	0	5	1	6	2	6	3	5	4	9	5	2
	0	9	1	2	2	3	3	8	4	1	5	7
	0	1	1	2	2	3	3	2	4	8	5	8
	0	2	1	3	2	8	3	8	4	4	5	5
	0	5	1	3	2	6	3	1	4	5	5	6
	0	9	1	6	2	2	3	1	4	6	5	3
	0	3	1	5	2	5	3	2	4	9	5	2
	0	8	1	8	2	8	3	3	4	5	5	9
