25	2	1
2
	0	85	1	102
	0	73	1	104
	0	85	1	99
	0	76	1	101
	0	85	1	89
	0	78	1	97
	0	91	1	98
	0	76	1	90
	0	75	1	90
	0	87	1	102
	0	84	1	89
	0	90	1	104
	0	82	1	86
	0	84	1	97
	0	76	1	98
	0	86	1	104
	0	83	1	93
	0	83	1	105
	0	82	1	96
	0	85	1	91
	0	73	1	95
	0	91	1	97
	0	89	1	92
	0	76	1	95
	0	91	1	92
Resources
1
R0
10
	0	8	1	5
	0	3	1	6
	0	4	1	9
	0	3	1	5
	0	8	1	6
	0	6	1	9
	0	9	1	8
	0	3	1	9
	0	5	1	5
	0	5	1	7
	0	7	1	6
	0	7	1	9
	0	9	1	8
	0	9	1	9
	0	6	1	9
	0	9	1	9
	0	6	1	5
	0	9	1	9
	0	7	1	8
	0	9	1	6
	0	5	1	9
	0	8	1	6
	0	4	1	5
	0	3	1	5
	0	7	1	6
